# TIC Temperature[K] Metallicity Logg(CGS) u1 u2 
2.599620540000000000e+08 3.203000000000000000e+03 0.000000000000000000e+00 5.016819950000000361e+00 3.208205311180056807e-01 3.017781930243071398e-01
2.817813750000000000e+08 5.605000000000000000e+03 0.000000000000000000e+00 4.399730210000000419e+00 4.555126947922903402e-01 1.265651521841151539e-01
2.815754270000000000e+08 6.222500000000000000e+03 1.300000000000000044e-01 4.059999939999999974e+00 4.105000675097789653e-01 1.337121426877440622e-01
5.565059000000000000e+07 3.358000000000000000e+03 0.000000000000000000e+00 4.400000000000000355e+00 3.387203441402149573e-01 3.085678566278449164e-01
2.602712030000000000e+08 5.963000000000000000e+03 0.000000000000000000e+00 4.311319830000000408e+00 4.194648325435068603e-01 1.397827340466250290e-01
3.148659620000000000e+08 5.493000000000000000e+03 0.000000000000000000e+00 4.430009840000000310e+00 4.673641835339354955e-01 1.223778794705855377e-01
5.220464500000000000e+07 4.892000000000000000e+03 0.000000000000000000e+00 4.509550090000000289e+00 5.205689180687997908e-01 1.095547062941570893e-01
1.416081980000000000e+08 3.275000000000000000e+03 0.000000000000000000e+00 4.400000000000000355e+00 3.323379165300426319e-01 3.135824119338816995e-01
3.002931970000000000e+08 5.873970214840000153e+03 -5.600439900000000470e-01 4.351819990000000082e+00 3.977397381608470672e-01 1.533111299576210562e-01
2.066096300000000000e+08 3.332000000000000000e+03 0.000000000000000000e+00 4.949639799999999923e+00 3.074039238501713456e-01 3.002014520943485087e-01
2.343452880000000000e+08 4.566399902340000153e+03 -8.000000000000000167e-02 4.929999829999999861e+00 5.344494485286350738e-01 1.212353041332308035e-01
1.674159650000000000e+08 5.346169921880000402e+03 -3.600000099999999814e-01 4.500770089999999612e+00 4.390521596492618084e-01 1.459482040946254999e-01
2.319129350000000000e+08 5.821000000000000000e+03 0.000000000000000000e+00 4.440939900000000051e+00 4.305493778769984292e-01 1.405403129080931013e-01
5.565289600000000000e+07 5.025770019530000354e+03 3.163250100000000176e-01 4.663479800000000175e+00 1.000000000000000056e-01 1.000000000000000056e-01
2.600437230000000000e+08 6.278000000000000000e+03 0.000000000000000000e+00 4.081530090000000222e+00 4.045536357329970745e-01 1.331895506140805818e-01
3.209058300000000000e+07 3.146000000000000000e+03 0.000000000000000000e+00 4.400000000000000355e+00 3.447008833048192389e-01 2.976099205053386321e-01
2.606092050000000000e+08 6.354000000000000000e+03 0.000000000000000000e+00 4.244719980000000170e+00 3.969243710781936163e-01 1.421840689701909799e-01
1.500988600000000000e+08 5.272709960940000201e+03 -1.007180000000000020e-01 3.988460059999999974e+00 4.770816801916940020e-01 1.133076382293785878e-01
3.169376700000000000e+08 3.765000000000000000e+03 0.000000000000000000e+00 4.751689909999999628e+00 3.092087500856554594e-01 3.051582686475995398e-01
1.444402900000000000e+08 5.709000000000000000e+03 0.000000000000000000e+00 4.400000000000000355e+00 4.433585862839555802e-01 1.312883468939796405e-01
3.264530340000000000e+08 5.063000000000000000e+03 0.000000000000000000e+00 4.484389779999999881e+00 4.935740095564143948e-01 1.183722420923932206e-01
7.079790000000000000e+07 3.689000000000000000e+03 0.000000000000000000e+00 4.781040189999999690e+00 2.966016413639362415e-01 3.190562354950109980e-01
4.752579900000000000e+07 4.658000000000000000e+03 0.000000000000000000e+00 4.530960079999999834e+00 5.521370373123641873e-01 9.430092062936323849e-02
4.748426800000000000e+07 3.396000000000000000e+03 0.000000000000000000e+00 4.914679999999999715e+00 3.034788511761606911e-01 3.063890229130231679e-01
2.760710000000000000e+06 2.808000000000000000e+03 0.000000000000000000e+00 5.206280229999999953e+00 4.410862379099305119e-01 3.888975529340047421e-01
